gene,drift_velocity,abs_drift
IL17F,-4.2086453e-05,4.2086453e-05
CLEC4D,4.1905125e-05,4.1905125e-05
PAX1,4.1905125e-05,4.1905125e-05
S100A12,-4.183259e-05,4.183259e-05
LHX6,4.1778192e-05,4.1778192e-05
PNLDC1,4.1778192e-05,4.1778192e-05
BRINP3,4.176006e-05,4.176006e-05
CSDC2,-4.174193e-05,4.174193e-05
POF1B,4.1723793e-05,4.1723793e-05
PTGS2,-4.1723793e-05,4.1723793e-05
ARHGEF15,-4.1614996e-05,4.1614996e-05
ELF3,-4.1560597e-05,4.1560597e-05
CFAP70,-4.1469935e-05,4.1469935e-05
POPDC3,-4.143367e-05,4.143367e-05
SEMA6B,-4.119794e-05,4.119794e-05
TFAP2A-AS1,-4.1143543e-05,4.1143543e-05
MYCT1,4.107101e-05,4.107101e-05
COL9A3,-4.0980347e-05,4.0980347e-05
APCDD1L,4.096221e-05,4.096221e-05
CNKSR3,4.096221e-05,4.096221e-05
BST1,4.092595e-05,4.092595e-05
SLC6A12,-4.0907813e-05,4.0907813e-05
ZNF454,-4.087155e-05,4.087155e-05
SLC10A5,4.0835283e-05,4.0835283e-05
LAMA5-AS1,4.0617688e-05,4.0617688e-05
CCL21,-4.0527022e-05,4.0527022e-05
CLEC3A,4.0418225e-05,4.0418225e-05
AUNIP,-4.0400093e-05,4.0400093e-05
LINC00923,4.0291296e-05,4.0291296e-05
VXN,-4.020063e-05,4.020063e-05
RSPO1,4.0091832e-05,4.0091832e-05
CA4,-3.9910505e-05,3.9910505e-05
TAF1L,3.9837974e-05,3.9837974e-05
IL3RA,-3.925772e-05,3.925772e-05
AMTN,-3.918519e-05,3.918519e-05
COL15A1,3.9094524e-05,3.9094524e-05
IGHV1OR15-2,3.9058257e-05,3.9058257e-05
CD1A,3.894946e-05,3.894946e-05
LINC01436,-3.889506e-05,3.889506e-05
MARCO,-3.8623068e-05,3.8623068e-05
BMX,-3.8532406e-05,3.8532406e-05
IL20,3.844174e-05,3.844174e-05
ALDH1A1,-3.8133483e-05,3.8133483e-05
TBC1D9,3.795215e-05,3.795215e-05
FAM149A,3.7843354e-05,3.7843354e-05
MACROD2,3.7825223e-05,3.7825223e-05
KCNJ5,-3.7788956e-05,3.7788956e-05
BLNK,3.7788956e-05,3.7788956e-05
LINGO1,3.7698293e-05,3.7698293e-05
MUC7,-3.7589496e-05,3.7589496e-05
DOCK6,3.7535097e-05,3.7535097e-05
DCST1-AS1,3.7516962e-05,3.7516962e-05
PAGE2,3.7263104e-05,3.7263104e-05
NR2F1-AS1,-3.7226837e-05,3.7226837e-05
