gene,drift_velocity,abs_drift
IGF2BP3,7.5487245e-05,7.5487245e-05
MTUS2,7.5360316e-05,7.5360316e-05
S100A1,7.512459e-05,7.512459e-05
NLN,-7.487073e-05,7.487073e-05
MEF2B,7.46894e-05,7.46894e-05
TRBV10-3,7.456247e-05,7.456247e-05
TUBB2B,7.450807e-05,7.450807e-05
PCDHGA12,7.441741e-05,7.441741e-05
ACOX2,7.4344876e-05,7.4344876e-05
VLDLR-AS1,7.430861e-05,7.430861e-05
IGKV1D-16,-7.4199816e-05,7.4199816e-05
TPPP3,7.392782e-05,7.392782e-05
NRIR,-7.378276e-05,7.378276e-05
EPYC,-7.3710224e-05,7.3710224e-05
FGFR2,-7.363769e-05,7.363769e-05
IL34,-7.338383e-05,7.338383e-05
TOM1L1,7.3275034e-05,7.3275034e-05
IQUB,7.303931e-05,7.303931e-05
TRBV11-2,-7.296677e-05,7.296677e-05
OMD,7.276731e-05,7.276731e-05
COX6A2,-7.2694784e-05,7.2694784e-05
ABCG2,7.267665e-05,7.267665e-05
LINC02531,7.265851e-05,7.265851e-05
GSN-AS1,7.264038e-05,7.264038e-05
SMCO3,-7.229586e-05,7.229586e-05
MEF2C,7.2259594e-05,7.2259594e-05
GFRA2,7.21508e-05,7.21508e-05
P3H2,7.2096394e-05,7.2096394e-05
F3,7.202387e-05,7.202387e-05
JPH4,7.142548e-05,7.142548e-05
TRAV38-1,-7.0772694e-05,7.0772694e-05
ADAMTS7,-7.030124e-05,7.030124e-05
TSPAN8,7.0210575e-05,7.0210575e-05
DSG3,6.992045e-05,6.992045e-05
HBG2,-6.9902315e-05,6.9902315e-05
CCNO,6.9757254e-05,6.9757254e-05
COX7A1,6.966659e-05,6.966659e-05
IGSF9B,6.9612186e-05,6.9612186e-05
GRHL1,-6.953966e-05,6.953966e-05
CCDC183,-6.9285794e-05,6.9285794e-05
KHDRBS2,6.92314e-05,6.92314e-05
LINC00393,-6.9158865e-05,6.9158865e-05
SPRY3,6.9031936e-05,6.9031936e-05
HMCN1,-6.899567e-05,6.899567e-05
VAX2,-6.899567e-05,6.899567e-05
GPR87,6.8850604e-05,6.8850604e-05
PROX1,-6.881434e-05,6.881434e-05
LINC01948,6.8759946e-05,6.8759946e-05
ZC2HC1C,-6.837915e-05,6.837915e-05
MMP10,6.8270354e-05,6.8270354e-05
ANXA3,6.807089e-05,6.807089e-05
INMT,-6.807089e-05,6.807089e-05
PDE1A,-6.803463e-05,6.803463e-05
LY6K,6.794396e-05,6.794396e-05
MED12L,-6.788957e-05,6.788957e-05
TSC22D1-AS1,6.77989e-05,6.77989e-05
SOX2,-6.76901e-05,6.76901e-05
DAGLA,-6.759944e-05,6.759944e-05
LAMA1,-6.7436245e-05,6.7436245e-05
LINC01762,6.7273046e-05,6.7273046e-05
FAM3D,6.718238e-05,6.718238e-05
PEX5L,6.671093e-05,6.671093e-05
BHLHE22,6.662026e-05,6.662026e-05
DZIP1L,6.640267e-05,6.640267e-05
TNFRSF21,6.618507e-05,6.618507e-05
POU5F1B,-6.604001e-05,6.604001e-05
WASF3,6.604001e-05,6.604001e-05
NKX3-1,-6.567735e-05,6.567735e-05
BCL11A,6.542349e-05,6.542349e-05
RASA4,-6.469817e-05,6.469817e-05
KDM4D,-6.429925e-05,6.429925e-05
ODAPH,-6.426298e-05,6.426298e-05
NANOG,6.4190455e-05,6.4190455e-05
ADAMTS9,6.408166e-05,6.408166e-05
C1orf220,-6.404539e-05,6.404539e-05
ATP6V0D2,6.384593e-05,6.384593e-05
PCLO,6.3737134e-05,6.3737134e-05
ROBO1,6.36102e-05,6.36102e-05
ANGPTL1,-6.351954e-05,6.351954e-05
RPL17-C18orf32,-6.341074e-05,6.341074e-05
POU5F2,6.3265674e-05,6.3265674e-05
