gene,drift_velocity,abs_drift
MELTF-AS1,9.3991875e-05,9.3991875e-05
PRR16,-9.396002e-05,9.396002e-05
CD22,-9.388038e-05,9.388038e-05
ANKHD1-EIF4EBP3,9.3561815e-05,9.3561815e-05
NKPD1,9.354589e-05,9.354589e-05
TMEM26,9.345032e-05,9.345032e-05
RBBP8NL,-9.266984e-05,9.266984e-05
STRC,9.2653914e-05,9.2653914e-05
FLNC,-9.251056e-05,9.251056e-05
ANPEP,-9.2462775e-05,9.2462775e-05
PEG10,9.243092e-05,9.243092e-05
WNK4,-9.220793e-05,9.220793e-05
IL17A,9.2128284e-05,9.2128284e-05
TMIGD3,-9.209643e-05,9.209643e-05
SRPK3,9.20805e-05,9.20805e-05
LAMA1,-9.200086e-05,9.200086e-05
ANGPTL1,-9.184158e-05,9.184158e-05
COL13A1,9.1793794e-05,9.1793794e-05
FHAD1,9.174601e-05,9.174601e-05
ZC3HAV1L,-9.158673e-05,9.158673e-05
IGLV1-41,-9.144338e-05,9.144338e-05
FAM83F,9.115667e-05,9.115667e-05
SAP30L-AS1,-9.0774396e-05,9.0774396e-05
SPTB,-9.0774396e-05,9.0774396e-05
TPPP3,9.036026e-05,9.036026e-05
CLEC4E,9.0344336e-05,9.0344336e-05
LY6K,8.929308e-05,8.929308e-05
SNHG18,8.8910805e-05,8.8910805e-05
KCNK7,-8.8815235e-05,8.8815235e-05
FERMT1,8.8146255e-05,8.8146255e-05
DLK1,-8.813033e-05,8.813033e-05
STMN2,-8.806661e-05,8.806661e-05
IGKV2D-29,-8.801883e-05,8.801883e-05
ZNF70,8.731799e-05,8.731799e-05
TPM1-AS,8.717464e-05,8.717464e-05
LINC00997,-8.706314e-05,8.706314e-05
TDRD6,8.7047214e-05,8.7047214e-05
PLEKHD1,-8.6999426e-05,8.6999426e-05
ADAMTS16,8.684015e-05,8.684015e-05
C1QTNF7,8.677643e-05,8.677643e-05
PDE1A,-8.656937e-05,8.656937e-05
TUBB3,-8.653751e-05,8.653751e-05
PPP1R3C,8.6457876e-05,8.6457876e-05
SLC4A1,-8.639416e-05,8.639416e-05
APLNR,8.634638e-05,8.634638e-05
RGS11,8.499248e-05,8.499248e-05
AHNAK2,8.497656e-05,8.497656e-05
POPDC3,8.496063e-05,8.496063e-05
DTNA,-8.488099e-05,8.488099e-05
FABP4,-8.4737636e-05,8.4737636e-05
AOC3,-8.4594285e-05,8.4594285e-05
TNFAIP6,-8.457835e-05,8.457835e-05
SELE,-8.4435e-05,8.4435e-05
RAB23,8.437129e-05,8.437129e-05
XDH,-8.422793e-05,8.422793e-05
ANKRD18B,8.405273e-05,8.405273e-05
KCNJ5,8.402087e-05,8.402087e-05
IGHV4-31,8.375009e-05,8.375009e-05
SHISA9,8.3734165e-05,8.3734165e-05
MARCO,8.35271e-05,8.35271e-05
GSN-AS1,8.351117e-05,8.351117e-05
KLK7,-8.328818e-05,8.328818e-05
SOAT2,8.322446e-05,8.322446e-05
DDIT4L,-8.300147e-05,8.300147e-05
RHBDF1,-8.2921826e-05,8.2921826e-05
CAPN3,8.285812e-05,8.285812e-05
CCL7,-8.282626e-05,8.282626e-05
GSTA1,8.269883e-05,8.269883e-05
DNASE1L2,-8.2682905e-05,8.2682905e-05
FAM3D,8.257141e-05,8.257141e-05
MAB21L1,8.2539555e-05,8.2539555e-05
PLEKHS1,-8.2539555e-05,8.2539555e-05
LIX1L-AS1,8.252363e-05,8.252363e-05
MIAT,-8.252363e-05,8.252363e-05
