gene,drift_velocity,abs_drift,is_death_gene,is_birth_gene
LOXL2,0.0002336061,0.0002336061,False,False
NFAM1,0.00023291705,0.00023291705,False,False
BHMT2,0.0002328264,0.0002328264,False,False
PDZD2,-0.00023240934,0.00023240934,False,False
LHFPL2,0.0002321192,0.0002321192,False,False
ACKR1,0.00023195602,0.00023195602,False,False
SNCG,0.00023191975,0.00023191975,False,False
ATP6V1C2,-0.00023126697,0.00023126697,False,False
LIFR,-0.0002309587,0.0002309587,False,False
OBSL1,-0.00023072297,0.00023072297,False,False
OVGP1,0.00023063231,0.00023063231,False,False
LAMB1,0.00023039659,0.00023039659,False,False
VSIG2,0.00023039659,0.00023039659,False,False
NRG1,-0.00022945367,0.00022945367,False,False
BHLHE41,0.00022918168,0.00022918168,False,False
GNB3,0.00022905474,0.00022905474,False,False
STEAP2,-0.00022901848,0.00022901848,False,False
LINC00997,0.00022898222,0.00022898222,False,False
TMSB15A,-0.00022883715,0.00022883715,False,False
FAM131C,-0.0002286377,0.0002286377,False,False
GNG12,0.00022845637,0.00022845637,False,False
JADE3,0.00022807557,0.00022807557,False,False
FAM95B1,-0.00022762225,0.00022762225,False,False
C1S,0.00022756786,0.00022756786,False,False
MILR1,-0.00022756786,0.00022756786,False,False
JCAD,-0.00022702386,0.00022702386,False,False
RAB23,-0.00022700573,0.00022700573,False,False
DOCK4,0.00022677,0.00022677,False,False
GPRC5B,-0.00022667935,0.00022667935,False,False
PAMR1,-0.00022655241,0.00022655241,False,False
POU5F1B,0.00022602656,0.00022602656,False,False
CSF3R,-0.0002256095,0.0002256095,False,False
GRB7,0.00022531937,0.00022531937,False,False
LIPH,0.00022430393,0.00022430393,False,False
SDC3,0.00022415887,0.00022415887,False,False
SH3BP4,-0.00022368741,0.00022368741,False,False
TNFSF15,0.00022336101,0.00022336101,False,False
DDR2,0.00022298023,0.00022298023,False,False
MELTF-AS1,0.00022265383,0.00022265383,False,False
IQCC,-0.00022176532,0.00022176532,False,False
CREB5,-0.00022160212,0.00022160212,False,False
HOXA11,0.00022118507,0.00022118507,False,False
CTNND1,-0.00022105814,0.00022105814,False,False
ADAMTS9,0.00022091308,0.00022091308,False,False
NRIP2,0.00022002457,0.00022002457,False,False
LINC02301,-0.00022000643,0.00022000643,False,False
TEAD4,-0.00021948059,0.00021948059,False,False
RBFOX2,-0.00021906353,0.00021906353,False,False
CA6,0.0002190454,0.0002190454,False,False
DNM1P35,-0.0002186102,0.0002186102,False,False
ZMYND19,0.00021824754,0.00021824754,False,False
FAM3D,0.00021821128,0.00021821128,False,False
TRAV20,0.00021821128,0.00021821128,False,False
PKIG,-0.00021817502,0.00021817502,False,False
RPS6KL1,-0.00021806621,0.00021806621,False,False
SNHG25,-0.00021779422,0.00021779422,False,False
NRXN1,-0.00021714144,0.00021714144,False,False
PLCB4,0.00021697824,0.00021697824,False,False
RN7SL832P,0.00021672438,0.00021672438,False,False
DCST2,-0.0002166337,0.0002166337,False,False
PSCA,0.00021657931,0.00021657931,False,False
SYNE4,-0.00021637985,0.00021637985,False,False
STK31,-0.00021598092,0.00021598092,False,False
TBC1D12,-0.00021549134,0.00021549134,False,False
HOXC11,-0.0002149111,0.0002149111,False,False
NR2F2,0.00021460283,0.00021460283,False,False
LIMCH1,-0.00021395004,0.00021395004,False,False
C17orf50,0.00021382312,0.00021382312,False,False
ADAMTS5,0.00021369618,0.00021369618,False,False
CTDSPL,-0.00021353299,0.00021353299,False,False
FAAH,0.00021346046,0.00021346046,False,False
MACROD2,-0.00021317034,0.00021317034,False,False
SPATA17,-0.00021311593,0.00021311593,False,False
SCGB1D2,0.0002130434,0.0002130434,False,False
TPM1-AS,0.00021257195,0.00021257195,False,False
LINC01424,0.00021253568,0.00021253568,False,False
CCDC9B,-0.00021242688,0.00021242688,False,False
NANOS1,-0.00021228181,0.00021228181,False,False
GPX8,-0.00021200982,0.00021200982,False,False
WNT2,0.00021199169,0.00021199169,False,False
DCLK1,-0.00021164717,0.00021164717,False,False
SYNGR4,-0.00021101252,0.00021101252,False,False
IL34,-0.00021097626,0.00021097626,False,False
ZNF662,0.00021084932,0.00021084932,False,False
APOA2,0.00021075866,0.00021075866,False,False
MFAP4,0.0002106136,0.0002106136,False,False
RNF43,-0.00021059546,0.00021059546,False,False
CTH,0.00021057733,0.00021057733,True,False
TRBV7-3,-0.00021030533,0.00021030533,False,False
LCNL1,0.00020968882,0.00020968882,False,False
HEY1,-0.00020961628,0.00020961628,False,False
GUCY1B1,0.00020959815,0.00020959815,False,False
IGSF10,-0.00020932616,0.00020932616,False,False
PARD3B,-0.0002090723,0.0002090723,False,False
SHPK,0.0002090723,0.0002090723,False,False
MAP1B,0.00020880031,0.00020880031,False,False
TPH1,-0.00020858271,0.00020858271,False,False
BCAS1,0.00020838325,0.00020838325,False,False
APOC3,0.00020831071,0.00020831071,False,False
NPIPB6,0.00020812938,0.00020812938,False,False
PCSK1,0.00020802059,0.00020802059,False,False
SERPINA3,0.000207803,0.000207803,False,False
TUBB3,-0.00020745846,0.00020745846,False,False
FRZB,0.0002073678,0.0002073678,False,False
HOXB8,0.00020676941,0.00020676941,False,False
IGHV3-64D,-0.00020667876,0.00020667876,False,False
KLHL17,-0.00020602597,0.00020602597,False,False
LINC01436,-0.00020597158,0.00020597158,False,False
VEPH1,0.00020584464,0.00020584464,False,False
CHGB,0.00020522812,0.00020522812,False,False
TSPAN8,0.00020501052,0.00020501052,False,False
PDLIM3,-0.00020491987,0.00020491987,False,False
KCNJ6,0.00020377748,0.00020377748,False,False
HES1,0.00020375935,0.00020375935,False,False
OSCP1,-0.00020337857,0.00020337857,False,False
MCF2,-0.00020297965,0.00020297965,False,False
GPR39,0.00020288897,0.00020288897,False,False
BST1,-0.00020247193,0.00020247193,False,False
ALDH4A1,-0.00020245378,0.00020245378,False,False
UTS2B,0.00020227247,0.00020227247,False,False
RAPH1,0.0002019642,0.0002019642,False,False
DIRAS3,-0.0002019098,0.0002019098,False,False
SLC6A8,0.0002019098,0.0002019098,False,False
PPL,-0.00020138395,0.00020138395,False,False
ALG1L2,-0.00020131141,0.00020131141,False,False
EDNRB,0.00020114821,0.00020114821,False,False
FLRT2,-0.0002008037,0.0002008037,False,False
CYBRD1,-0.00020078557,0.00020078557,False,False
KCTD14,-0.00020045917,0.00020045917,False,False
SNAI2,0.00019995145,0.00019995145,False,False
ACKR4,-0.00019973385,0.00019973385,False,False
CLC,-0.00019902668,0.00019902668,False,False
ADAM33,0.00019897227,0.00019897227,False,False
AFAP1L1,-0.00019880908,0.00019880908,False,False
ZC2HC1C,0.00019665126,0.00019665126,False,False
IGLV3-16,0.0001961254,0.0001961254,False,False
PLGLB1,0.00019514623,0.00019514623,False,False
SHD,-0.00019509184,0.00019509184,False,False
PRND,0.00019462038,0.00019462038,False,False
LINC00663,-0.00019456598,0.00019456598,False,False
SHTN1,-0.00019427585,0.00019427585,False,False
CCL7,0.0001938588,0.0001938588,False,False
KITLG,-0.00019316975,0.00019316975,False,False
ATP6V0A1,0.00019258949,0.00019258949,False,False
TNS2,-0.00019228124,0.00019228124,False,False
AGAP2-AS1,0.00019197297,0.00019197297,False,False
NEXN-AS1,0.00019188231,0.00019188231,False,False
ZNF385D,0.00019179165,0.00019179165,False,False
B3GNT3,0.00019173724,0.00019173724,False,False
TIMD4,-0.0001909394,0.0001909394,False,False
TIFAB,0.00019057674,0.00019057674,False,False
ELFN1-AS1,-0.00019037728,0.00019037728,False,False
IL17B,0.00019034102,0.00019034102,False,False
BAALC,-0.00018997835,0.00018997835,False,False
PODN,-0.00018954316,0.00018954316,False,False
PCOLCE-AS1,0.0001894525,0.0001894525,False,False
TANC1,-0.00018914424,0.00018914424,False,False
CD177,-0.00018905358,0.00018905358,False,False
LINC02532,-0.00018832827,0.00018832827,False,False
RPL17-C18orf32,0.00018800187,0.00018800187,False,False
CFAP69,-0.00018791121,0.00018791121,False,False
SH2D6,-0.00018787495,0.00018787495,False,False
PCDH18,-0.00018778427,0.00018778427,False,False
GJC1,0.00018749415,0.00018749415,False,False
ARHGEF15,-0.00018733095,0.00018733095,False,False
HS6ST2,0.00018725843,0.00018725843,False,False
EIF4E1B,-0.0001872403,0.0001872403,False,False
CMKLR1,0.00018656938,0.00018656938,False,False
LINC02288,0.00018640618,0.00018640618,False,False
EMX2,0.000185427,0.000185427,False,False
EPHB2,0.000185155,0.000185155,False,False
MPEG1,0.00018477421,0.00018477421,False,False
PAWR,-0.00018475608,0.00018475608,False,False
TMEM52,0.0001836681,0.0001836681,False,False
SIX5,-0.00018341425,0.00018341425,False,False
FRK,-0.00018339611,0.00018339611,False,False
SLC26A4,0.00018301532,0.00018301532,False,False
RAB3B,-0.00018297906,0.00018297906,False,False
F13A1,0.00018276146,0.00018276146,False,False
CST1,0.00018219935,0.00018219935,False,False
NKAPL,0.00018210868,0.00018210868,False,False
SLC16A2,-0.00018199989,0.00018199989,False,False
TFAP2A-AS1,0.00018192735,0.00018192735,False,False
BCL11A,0.00018174601,0.00018174601,False,False
ADGRG6,-0.00018141963,0.00018141963,False,False
IL17A,-0.00018073058,0.00018073058,False,False
F3,-0.00018058551,0.00018058551,False,False
TCN1,-0.00018054925,0.00018054925,False,False
CD19,-0.00018038605,0.00018038605,False,False
CPE,0.00018009593,0.00018009593,False,False
ASS1,-0.00017996899,0.00017996899,False,False
IGKV1D-33,-0.00017993273,0.00017993273,False,False
PLCD3,-0.00017987833,0.00017987833,False,False
SLC4A3,-0.0001797514,0.0001797514,False,False
HSD11B2,0.00017947941,0.00017947941,False,False
FAM167B,-0.00017946128,0.00017946128,False,False
PCDH9,-0.00017904422,0.00017904422,False,False
HTR3A,0.00017900796,0.00017900796,False,False
EDNRA,0.00017891728,0.00017891728,False,False
OTOA,-0.00017871783,0.00017871783,False,False
CLEC14A,-0.00017860903,0.00017860903,False,False
CXCL2,0.00017844583,0.00017844583,False,False
IRX2,-0.00017835517,0.00017835517,False,False
LRFN5,0.00017781118,0.00017781118,False,False
TLR10,-0.00017779304,0.00017779304,False,False
PPFIA3,-0.00017739413,0.00017739413,False,False
ACADL,-0.0001772672,0.0001772672,False,False
FABP3,-0.00017690453,0.00017690453,False,False
YAP1,0.0001768864,0.0001768864,False,False
HDAC11-AS1,-0.0001768864,0.0001768864,False,False
NLRP12,0.00017685014,0.00017685014,False,False
PRSS57,-0.00017679574,0.00017679574,False,False
SLC2A5,-0.00017663254,0.00017663254,False,False
TSPAN9,0.00017646934,0.00017646934,False,False
STMN2,-0.00017614296,0.00017614296,False,False
GALNT5,0.0001757803,0.0001757803,False,False
MSLN,0.00017576216,0.00017576216,False,False
ASAP2,0.00017552644,0.00017552644,False,False
TINCR,-0.0001755083,0.0001755083,False,False
TMEM51,0.00017529071,0.00017529071,False,False
PRRX1,0.00017512751,0.00017512751,False,False
ZNF205,0.00017505499,0.00017505499,False,False
TTC23,0.000174783,0.000174783,False,False
POTEJ,0.0001744566,0.0001744566,False,False
ABCA9,-0.0001744566,0.0001744566,False,False
LINC01819,0.00017442033,0.00017442033,False,False
FCRL2,0.000174239,0.000174239,False,False
NKAIN1,-0.000174239,0.000174239,False,False
MSMB,-0.00017376755,0.00017376755,False,False
SSTR2,-0.00017369502,0.00017369502,False,False
SYNM,-0.00017322355,0.00017322355,False,False
GALNT18,0.00017309663,0.00017309663,False,False
CCDC8,0.00017284277,0.00017284277,False,False
LCN6,0.00017278836,0.00017278836,False,False
CD1C,-0.00017215371,0.00017215371,False,False
BHLHE22,-0.00017209932,0.00017209932,False,False
NECTIN2,-0.00017209932,0.00017209932,False,False
CCR9,0.00017204492,0.00017204492,False,False
INSRR,-0.00017179106,0.00017179106,False,False
EPN3,-0.00017171852,0.00017171852,False,False
MEIKIN,-0.00017133774,0.00017133774,False,False
LAMA1,-0.00017128333,0.00017128333,False,False
PEG10,-0.0001712652,0.0001712652,False,False
FAM228A,0.00017066683,0.00017066683,False,False
MYBPC2,0.00017006844,0.00017006844,False,False
SYT17,0.00016907112,0.00016907112,False,False
FGD1,-0.0001688354,0.0001688354,False,False
PAPPA,0.00016876287,0.00016876287,False,False
COBL,-0.00016836394,0.00016836394,False,False
C1QTNF2,0.00016811008,0.00016811008,False,False
EYA1,0.00016785623,0.00016785623,False,False
CFAP206,0.0001678381,0.0001678381,False,False
LINC02207,-0.00016781996,0.00016781996,False,False
OLFM1,0.00016754796,0.00016754796,False,False
LINC00839,0.00016754796,0.00016754796,False,False
FAM20A,0.00016675012,0.00016675012,False,False
P3H3,0.00016656879,0.00016656879,False,False
C7,-0.00016620613,0.00016620613,False,False
DIO3,0.00016606107,0.00016606107,False,False
C11orf96,-0.00016604293,0.00016604293,False,False
KIF17,0.00016589787,0.00016589787,False,False
HOXB6,-0.0001657528,0.0001657528,False,False
CGA,-0.00016549895,0.00016549895,False,False
GATA2,-0.00016493682,0.00016493682,False,False
TRBV12-3,-0.00016488243,0.00016488243,False,False
WNK2,-0.0001648643,0.0001648643,False,False
LINC01229,0.00016408457,0.00016408457,False,False
UQCC3,0.00016330487,0.00016330487,False,False
MAGEA3,0.00016276087,0.00016276087,False,False
GLB1L3,0.00016250701,0.00016250701,False,False
UACA,-0.00016201743,0.00016201743,False,False
FGFR4,0.00016181797,0.00016181797,False,False
PTPRS,0.00016170918,0.00016170918,False,False
FKTN,-0.00016158224,0.00016158224,False,False
CLDN5,-0.0001605124,0.0001605124,False,False
RTN1,-0.00016049427,0.00016049427,False,False
FHAD1,0.00016043987,0.00016043987,False,False
AHRR,0.0001602948,0.0001602948,False,False
LHX6,-0.00016011347,0.00016011347,False,False
NUPR2,-0.00016005908,0.00016005908,False,False
OLFML3,0.00015909804,0.00015909804,False,False
CYYR1,-0.00015900737,0.00015900737,False,False
KCTD1,-0.00015889858,0.00015889858,False,False
DNALI1,0.00015851778,0.00015851778,False,False
ENTHD1,0.00015819138,0.00015819138,False,False
ANGPTL4,-0.00015813699,0.00015813699,False,False
LINC01781,-0.00015791939,0.00015791939,False,False
DCDC2,-0.00015771993,0.00015771993,False,False
PTGFR,-0.00015759301,0.00015759301,False,False
NRXN2,0.00015755674,0.00015755674,False,False
WDFY4,0.000157321,0.000157321,False,False
SNCB,0.00015719408,0.00015719408,False,False
PCOLCE2,0.00015708528,0.00015708528,False,False
