gene,drift_velocity,abs_drift,is_death_gene,is_birth_gene
TRAV24,0.000103437254,0.000103437254,False,False
LIMCH1,-0.00010338947,0.00010338947,False,False
NUPR1,-0.000103246115,0.000103246115,True,False
NYNRIN,0.000102943486,0.000102943486,False,False
BOLA2,-0.00010235414,0.00010235414,False,False
ZSCAN4,0.00010209929,0.00010209929,False,False
WNK4,0.000102083366,0.000102083366,False,False
LINC01857,-0.00010186037,0.00010186037,False,False
TTLL9,0.00010182852,0.00010182852,False,False
ZNF662,0.00010163738,0.00010163738,False,False
EVPL,0.00010149403,0.00010149403,False,False
SLC19A3,0.0001011436,0.0001011436,False,False
CCDC149,-0.000100888756,0.000100888756,False,False
GPR153,-9.9980854e-05,9.9980854e-05,False,False
TSC22D1-AS1,-9.9455225e-05,9.9455225e-05,False,False
PCDHGA12,9.934373e-05,9.934373e-05,False,False
RAC3,9.9216304e-05,9.9216304e-05,False,False
PAWR,-9.891367e-05,9.891367e-05,False,False
MEIKIN,-9.87066e-05,9.87066e-05,False,False
ZNF454,9.851546e-05,9.851546e-05,False,False
ZNF205,9.8499535e-05,9.8499535e-05,False,False
MPEG1,9.841989e-05,9.841989e-05,False,False
FAT3,9.8308396e-05,9.8308396e-05,False,False
PCOLCE-AS1,9.803762e-05,9.803762e-05,False,False
PLSCR2,9.76872e-05,9.76872e-05,False,False
FGFR2,9.748014e-05,9.748014e-05,False,False
FCER2,9.736864e-05,9.736864e-05,False,False
CGREF1,9.7304925e-05,9.7304925e-05,False,False
PCDHGA3,9.682708e-05,9.682708e-05,False,False
CERKL,-9.6476666e-05,9.6476666e-05,False,False
ZNF516,-9.625367e-05,9.625367e-05,False,False
ADAM33,9.618996e-05,9.618996e-05,False,False
STON2,9.583954e-05,9.583954e-05,False,False
PPP1R1B,9.521834e-05,9.521834e-05,False,False
IGKV1D-12,9.4804214e-05,9.4804214e-05,False,False
GRIN1,9.478828e-05,9.478828e-05,False,False
NUTM2A,-9.464493e-05,9.464493e-05,False,False
CCDC170,9.4326366e-05,9.4326366e-05,False,False
ADCY6,-9.4087445e-05,9.4087445e-05,False,False
HOXC6,9.407152e-05,9.407152e-05,False,False
LAMA4,-9.392817e-05,9.392817e-05,False,False
GLIS1,-9.392817e-05,9.392817e-05,False,False
FKTN,9.3514034e-05,9.3514034e-05,False,False
HOXA11,9.349811e-05,9.349811e-05,False,False
SLC6A1,9.32114e-05,9.32114e-05,False,False
IL6,9.273356e-05,9.273356e-05,True,False
IGKV2D-28,-9.2701695e-05,9.2701695e-05,False,False
KITLG,9.244685e-05,9.244685e-05,False,False
NES,9.211236e-05,9.211236e-05,False,False
FUT1,-9.201679e-05,9.201679e-05,False,False
LIPH,9.1730086e-05,9.1730086e-05,False,False
TMEM52,9.1395596e-05,9.1395596e-05,False,False
ABCA6,-9.1268164e-05,9.1268164e-05,False,False
CCL17,-9.115667e-05,9.115667e-05,False,False
ALG1L2,-9.09496e-05,9.09496e-05,False,False
RAB39A,9.082218e-05,9.082218e-05,False,False
PEG3,9.058326e-05,9.058326e-05,False,False
MEOX2,-9.012134e-05,9.012134e-05,False,False
HTR2B,9.005763e-05,9.005763e-05,False,False
NPIPB6,9.00417e-05,9.00417e-05,False,False
MTMR7,-8.983463e-05,8.983463e-05,False,False
CLVS1,8.970721e-05,8.970721e-05,False,False
TDRD5,8.961164e-05,8.961164e-05,False,False
PARD3B,-8.954793e-05,8.954793e-05,False,False
SHPK,8.9388646e-05,8.9388646e-05,False,False
HMCN1,8.921344e-05,8.921344e-05,False,False
KRTAP5-8,8.90223e-05,8.90223e-05,False,False
TIMD4,8.8910805e-05,8.8910805e-05,False,False
WNT5B,8.8767454e-05,8.8767454e-05,False,False
RHBDL2,8.859224e-05,8.859224e-05,False,False
MAGI2,8.854446e-05,8.854446e-05,False,False
NMNAT2,8.854446e-05,8.854446e-05,False,False
PDGFRL,8.844889e-05,8.844889e-05,False,False
MAB21L1,-8.844889e-05,8.844889e-05,False,False
RFLNA,-8.7955115e-05,8.7955115e-05,False,False
DLG1-AS1,8.773212e-05,8.773212e-05,False,False
ANKRD65,8.736578e-05,8.736578e-05,False,False
DUSP9,8.734985e-05,8.734985e-05,False,False
FIGN,8.6951644e-05,8.6951644e-05,False,False
WNT7B,8.688793e-05,8.688793e-05,False,False
CAPN3,8.6712724e-05,8.6712724e-05,False,False
EDNRB,8.6330445e-05,8.6330445e-05,False,False
RASGRF1,8.620302e-05,8.620302e-05,False,False
ANKRD49,-8.6091524e-05,8.6091524e-05,False,False
WDFY3,-8.594817e-05,8.594817e-05,False,False
APLNR,8.5900385e-05,8.5900385e-05,False,False
ALPK3,8.5565895e-05,8.5565895e-05,False,False
JPH4,8.537476e-05,8.537476e-05,False,False
CX3CL1,-8.5167696e-05,8.5167696e-05,False,False
CFAP206,8.456242e-05,8.456242e-05,False,False
PRTG,-8.4466854e-05,8.4466854e-05,False,False
SLC10A5,8.413236e-05,8.413236e-05,False,False
AGTR1,8.4036794e-05,8.4036794e-05,False,False
LINC00240,8.365452e-05,8.365452e-05,False,False
SPRY4,-8.3638595e-05,8.3638595e-05,False,False
TAF1L,-8.357488e-05,8.357488e-05,False,False
LYVE1,-8.351117e-05,8.351117e-05,False,False
NRIP2,8.346338e-05,8.346338e-05,False,False
SLF1,-8.3399675e-05,8.3399675e-05,False,False
TRAV41,8.333596e-05,8.333596e-05,False,False
TMC1,8.309704e-05,8.309704e-05,False,False
GNB3,8.284219e-05,8.284219e-05,False,False
TFAP2A-AS1,8.257141e-05,8.257141e-05,False,False
XKR4,-8.233249e-05,8.233249e-05,False,False
CYYR1,-8.226877e-05,8.226877e-05,False,False
CC2D2A,-8.2061706e-05,8.2061706e-05,False,False
GLRA3,-8.198207e-05,8.198207e-05,False,False
LINC01213,-8.183871e-05,8.183871e-05,False,False
IL37,8.171129e-05,8.171129e-05,False,False
FYB2,8.1679435e-05,8.1679435e-05,False,False
EGFL7,8.155201e-05,8.155201e-05,False,False
PTPRS,8.132902e-05,8.132902e-05,False,False
NDST1,8.128123e-05,8.128123e-05,False,False
IGSF1,8.123345e-05,8.123345e-05,False,False
RAD21-AS1,8.121752e-05,8.121752e-05,False,False
IGHV3-19,8.0914884e-05,8.0914884e-05,False,False
GNA11,8.070782e-05,8.070782e-05,False,False
DCBLD2,-8.0389254e-05,8.0389254e-05,False,False
LCN10,-8.0293685e-05,8.0293685e-05,False,False
TMEM54,-8.0054764e-05,8.0054764e-05,False,False
LINC02367,8.003884e-05,8.003884e-05,False,False
BPIFB1,-7.9991056e-05,7.9991056e-05,False,False
ADCY5,7.959285e-05,7.959285e-05,False,False
LINC00242,7.9560996e-05,7.9560996e-05,False,False
PREX2,7.954507e-05,7.954507e-05,False,False
TOX3,-7.948135e-05,7.948135e-05,False,False
PDE10A,-7.9226505e-05,7.9226505e-05,False,False
BPIFB2,-7.906722e-05,7.906722e-05,False,False
DNAAF3,7.892387e-05,7.892387e-05,False,False
LINC00659,-7.887608e-05,7.887608e-05,False,False
PAX6,-7.863716e-05,7.863716e-05,False,False
NEURL1B,-7.8605306e-05,7.8605306e-05,False,False
ERVE-1,7.833453e-05,7.833453e-05,False,False
ITGBL1,7.806375e-05,7.806375e-05,False,False
HOXC8,7.7601835e-05,7.7601835e-05,False,False
SLC25A48,7.7458484e-05,7.7458484e-05,False,False
SEMA3A,7.739477e-05,7.739477e-05,False,False
PAQR6,7.725142e-05,7.725142e-05,False,False
ABCA10,-7.709213e-05,7.709213e-05,False,False
IGHV7-4-1,7.6932854e-05,7.6932854e-05,False,False
PABPC5,-7.691693e-05,7.691693e-05,False,False
WASF3,7.682136e-05,7.682136e-05,False,False
SLC6A9,7.682136e-05,7.682136e-05,False,False
ARHGEF10L,-7.680543e-05,7.680543e-05,False,False
TMEM100,7.672579e-05,7.672579e-05,False,False
NAV1,7.6693934e-05,7.6693934e-05,False,False
THBD,7.6678e-05,7.6678e-05,False,False
LAMP5,-7.6550576e-05,7.6550576e-05,False,False
IGHV3OR16-13,-7.651872e-05,7.651872e-05,False,False
CSDC2,7.624795e-05,7.624795e-05,False,False
DNM3OS,-7.6216085e-05,7.6216085e-05,False,False
PCDHGA8,-7.608866e-05,7.608866e-05,False,False
CTXN2,7.602495e-05,7.602495e-05,False,False
MAPK8IP2,-7.5881595e-05,7.5881595e-05,False,False
LMO1,7.557896e-05,7.557896e-05,False,False
ANKRD29,7.546746e-05,7.546746e-05,False,False
FLT3,7.538783e-05,7.538783e-05,False,False
CTNND1,-7.519669e-05,7.519669e-05,False,False
HEY1,7.5148906e-05,7.5148906e-05,False,False
TRPC4,7.5117045e-05,7.5117045e-05,False,False
ADAMTS9,7.498962e-05,7.498962e-05,False,False
FERMT1,-7.494184e-05,7.494184e-05,False,False
RNASEH2B-AS1,7.490998e-05,7.490998e-05,False,False
TSC22D1,-7.47507e-05,7.47507e-05,True,False
GPR31,7.47507e-05,7.47507e-05,False,False
ASPA,-7.473477e-05,7.473477e-05,False,False
ACADL,-7.443214e-05,7.443214e-05,False,False
TUBB6,7.436842e-05,7.436842e-05,False,False
ABCC8,7.433657e-05,7.433657e-05,False,False
LINC01139,7.432064e-05,7.432064e-05,False,False
VEGFD,-7.432064e-05,7.432064e-05,False,False
IGDCC4,-7.4241e-05,7.4241e-05,False,False
TNFAIP8L3,-7.3763156e-05,7.3763156e-05,False,False
PPP4R1-AS1,7.366759e-05,7.366759e-05,False,False
SLC2A10,7.354016e-05,7.354016e-05,False,False
VASH2,7.336495e-05,7.336495e-05,False,False
CLEC4C,-7.3333096e-05,7.3333096e-05,False,False
CRISP3,7.3285315e-05,7.3285315e-05,False,False
GRTP1,7.314196e-05,7.314196e-05,False,False
PHGR1,7.303046e-05,7.303046e-05,False,False
CSRNP3,-7.2903036e-05,7.2903036e-05,False,False
ACOT6,7.2664116e-05,7.2664116e-05,False,False
ALAS2,-7.264819e-05,7.264819e-05,False,False
SPATA17,-7.1995135e-05,7.1995135e-05,False,False
HOXD1,7.193142e-05,7.193142e-05,False,False
CYB5R2,-7.191549e-05,7.191549e-05,False,False
FAM177B,7.188364e-05,7.188364e-05,False,False
MEG3,7.186771e-05,7.186771e-05,False,False
MUC7,7.1756214e-05,7.1756214e-05,False,False
FAM13A,-7.154915e-05,7.154915e-05,False,False
TBL1XR1-AS1,-7.151729e-05,7.151729e-05,False,False
HOXA7,7.145358e-05,7.145358e-05,False,False
IGLC7,7.1373935e-05,7.1373935e-05,False,False
DSG3,7.135801e-05,7.135801e-05,False,False
PPFIA3,-7.100759e-05,7.100759e-05,False,False
KHDRBS2,-7.092795e-05,7.092795e-05,False,False
ROR2,7.083238e-05,7.083238e-05,False,False
SCN2B,7.076867e-05,7.076867e-05,False,False
AATBC,7.038639e-05,7.038639e-05,False,False
IGHV3-35,-7.0131544e-05,7.0131544e-05,False,False
BMX,6.997226e-05,6.997226e-05,False,False
MME,6.9701484e-05,6.9701484e-05,False,False
GSTT2B,6.930328e-05,6.930328e-05,False,False
DNALI1,-6.923957e-05,6.923957e-05,False,False
C6,6.9175854e-05,6.9175854e-05,False,False
NKAIN1,-6.896879e-05,6.896879e-05,False,False
TTC28,-6.892101e-05,6.892101e-05,False,False
ZNF503,6.882544e-05,6.882544e-05,False,False
OLFML2A,-6.861837e-05,6.861837e-05,False,False
SLC38A3,6.850687e-05,6.850687e-05,False,False
IGHV3OR16-12,6.850687e-05,6.850687e-05,False,False
KCTD16,6.845909e-05,6.845909e-05,False,False
HRC,-6.839538e-05,6.839538e-05,False,False
PNMA6A,6.836352e-05,6.836352e-05,False,False
IGHV3OR15-7,-6.786975e-05,6.786975e-05,False,False
CD22,6.786975e-05,6.786975e-05,False,False
CILP,-6.771047e-05,6.771047e-05,False,False
MIR3945HG,6.7583045e-05,6.7583045e-05,False,False
DNM1P35,-6.742376e-05,6.742376e-05,False,False
SCHLAP1,6.742376e-05,6.742376e-05,False,False
SLC7A2,6.740783e-05,6.740783e-05,False,False
